index,chemical_name,CASN
1,17beta-Estradiol,50-28-2
2,17alpha-Estradiol,57-91-0
3,Estrone,53-16-7
4,Equilin,474-86-2
5,"2,4-Dichlorophenol",120-83-2
6,Estriol,50-27-1
7,Testosterone propionate,57-85-2
8,Forskolin,66575-29-9
9,Oxyfluorfen,42874-03-3
10,Cyfluthrin,68359-37-5
11,CP-612372,353280-07-6
12,Coumaphos,56-72-4
13,Hexythiazox,78587-05-0
14,Acibenzolar-S-methyl,135158-54-2
15,GSK163929B,NOCAS_47311
16,PharmaGSID47263,349495-42-7
17,Pirimiphos-methyl,29232-93-7
18,Dimethomorph,110488-70-5
19,Sethoxydim,74051-80-2
20,Atrazine,1912-24-9
22,Chlorthal-dimethyl,1861-32-1
23,Benz(a)anthracene,56-55-3
24,CP-457677,214535-77-0
25,Nitrilotriacetic acid,139-13-9
26,2-Naphthalenol,135-19-3
27,Diazinon,333-41-5
28,Sodium 2-phenylphenate tetrahydrate,6152-33-6
29,Methiocarb,2032-65-7
30,Prometryn,7287-19-6
31,3-Phenoxybenzenemethanol,13826-35-2
32,Profenofos,41198-08-7
33,3-Methyl-4-(methylthio)phenol,3120-74-9
34,CP-671305,445295-04-5
36,PharmaGSID47259,149062-75-9
35,Simazine,122-34-9
37,5-Amino-2-methylphenol,2835-95-2
39,Chlorpropham,101-21-3
40,Carfentrazone-ethyl,128639-02-1
42,Cybutryne,28159-98-0
43,3-Phenylphenol,580-51-8
45,Fenthion,55-38-9
44,"2,4-Dimethylphenol",105-67-9
46,Prometon,1610-18-0
47,"2,4,6-Tris(allyloxy)-1,3,5-triazine",101-37-1
48,"4,4'-Methylenedianiline",101-77-9
49,Diphenylamine,122-39-4
50,4-Butylphenol,1638-22-8
51,Carbaryl,63-25-2
52,C.I. Solvent Yellow 14,842-07-9
53,Clove leaf oil,8000-34-8
54,4-Prop-1-enylveratrole,93-16-3
55,"1,4-Benzenediamine",106-50-3
56,Carboxin,5234-68-4
57,Indan-5-ol,1470-94-6
58,1-(Bromomethyl)-3-phenoxybenzene,51632-16-7
59,4-Pentylphenol,14938-35-3
60,"1,4-Diaminoanthraquinone",128-95-0
61,4-Iodophenol,540-38-5
62,Formetanate hydrochloride,23422-53-9
63,FR140423,151506-44-4
64,4-Chloro-2-methylphenol,1570-64-5
65,2-Naphthylamine,91-59-8
66,2-(3-Phenylpropyl)pyridine,2110-18-1
67,p-Cresol,106-44-5
68,2-Amino-5-azotoluene,97-56-3
69,PD-0333941,501027-49-2
70,"3,3'-Dimethylbenzidine",119-93-7
72,N-Benzyladenine,1214-39-7
71,Zenarestat,112733-06-9
74,Acifluorfen,50594-66-6
77,Cinmethylin,87818-31-3
78,Methyleugenol,93-15-2
75,Deisopropylatrazine,1007-28-9
76,Ametryn,834-12-8
79,Isazofos,42509-80-8
80,Cladribine,4291-63-8
82,Clomazone,81777-89-1
81,CP-456773,210826-40-7
83,"2,6-Dinitrotoluene",606-20-2
84,Cycloate,1134-23-2
86,"7,12-Dimethylbenz(a)anthracene",57-97-6
85,3-Methoxyphenol,150-19-6
88,Tridemorph,24602-86-6
89,2-Ethoxy-5-(1-propenyl)phenol,94-86-0
90,2-Amino-6-methoxybenzothiazole,1747-60-0
92,Ethylparaben,120-47-8
93,"2,4,6-Trichlorophenol",88-06-2
94,"3,4-Diaminotoluene",496-72-0
95,"2,4,6-Tribromophenol",118-79-6
98,Anilazine,101-05-3
100,Mepanipyrim,110235-47-7
102,Tefluthrin,79538-32-2
103,Terbutylazine,5915-41-3
104,Pyraflufen-ethyl,129630-19-9
105,Molinate,2212-67-1
107,10-Undecenoic acid,112-38-9
108,"2,4-Diisopropylphenol",5/6/2934
109,Bendiocarb,22781-23-3
110,"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane",2971-36-0
111,Methylparaben,99-76-3
112,Deethylatrazine,6190-65-4
114,Phenothiazine,92-84-2
117,N-Phenyl-2-naphthylamine,135-88-6
116,"3,3'-Dimethoxybenzidine",119-90-4
120,"2,4-D 1-butyl ester",94-80-4
121,Hydroquinone,123-31-9
122,Fenitrothion,122-14-5
123,Di(2-ethylhexyl) phthalate,117-81-7
124,Fluridone,59756-60-4
126,Difenoconazole,119446-68-3
127,4-Aminoazobenzene,60-09-3
129,Spirodiclofen,148477-71-8
128,Benzidine,92-87-5
132,"3,3,5-Trimethylcyclohexyl salicylate",118-56-9
130,Fluoranthene,206-44-0
131,Norflurazon,27314-13-2
134,Paclobutrazol,76738-62-0
133,"3,4-Dimethylphenol",95-65-8
135,Parathion,56-38-2
137,Endosulfan sulfate,1031-07-8
136,Procymidone,32809-16-8
139,C.I. Disperse Yellow 3,2832-40-8
138,"3,3'-Dimethylbenzidine dihydrochloride",612-82-8
141,"3,3',5,5'-Tetrabromobisphenol A",79-94-7
142,CP-457920,220860-50-4
143,Methyl parathion,298-00-0
145,CP-401387,199171-88-5
147,MK-968,NOCAS_47334
146,"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate",4707-47-5
148,Spiroxamine,118134-30-8
149,Progesterone,57-83-0
151,1-Chloroanthraquinone,82-44-0
150,17alpha-Ethinylestradiol,57-63-6
154,PharmaGSID48519,686756-87-6
152,Daidzein,486-66-8
157,"2,2'-Dibenzoylaminodiphenyl disulfide",135-57-9
156,Azinphos-ethyl,2642-71-9
155,Triamcinolone,124-94-7
158,2-Phenylphenol,90-43-7
163,Diphenyl isophthalate,744-45-6
164,Diethylstilbestrol,56-53-1
161,2-Aminoanthraquinone,117-79-3
162,4-(2-Methylbutan-2-yl)phenol,80-46-6
165,Triphenyl phosphate,115-86-6
167,Cyproconazole,94361-06-5
166,Pentachlorophenol,87-86-5
168,Bisphenol A,80-05-7
169,Ethoprop,13194-48-4
170,C.I. Solvent Red 80,6358-53-8
172,Malathion,121-75-5
173,Anthracene,120-12-7
174,"N,N-Dimethyloctylamine",7378-99-6
176,2-Hydroxy-4-methoxybenzophenone,131-57-7
175,CJ-013790,179465-71-5
177,CP-283097,171866-31-2
178,"3,3'-Dimethoxybenzidine dihydrochloride",20325-40-0
179,Trelanserin,189003-92-7
180,Methyl dihydrojasmonate,24851-98-7
184,Ethion,563-12-2
185,Nonanoic acid,112-05-0
187,CI-1044,NOCAS_47291
189,3-Phenyl-2-propen-1-ol,104-54-1
194,Prallethrin,23031-36-9
190,Catechol,120-80-9
191,"1,5-Naphthalenediamine",2243-62-1
195,Simvastatin,79902-63-9
193,SSR161421,NOCAS_47374
196,Permethrin,52645-53-1
197,Dimethyl isophthalate,1459-93-4
