assay_component_name	technological_target_type_sub	chnm	casn	stkc	stkc_unit	apid	rowi	coli	wllt	wllq	conc	rval	srcf
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	7	10	t	1	0.411522634	0.58	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	7	11	t	1	0.411522634	0.56	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	6	10	t	1	1.234567901	0.52	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	6	11	t	1	1.234567901	0.53	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	5	10	t	1	3.703703704	0.61	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	5	11	t	1	3.703703704	0.63	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	4	10	t	1	11.11111111	0.74	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	4	11	t	1	11.11111111	0.75	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	3	10	t	1	33.33333333	0.96	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	3	11	t	1	33.33333333	0.72	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
