assay_component_name	technological_target_type_sub	chnm	conc	count(*)
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	0.411522634	2
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	1.234567901	2
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	3.703703704	2
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	11.11111111	2
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	33.33333333	2
CEETOX_H295R_ESTRADIOL	Estradiol	1-(Bromomethyl)-3-phenoxybenzene	100	2
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	0.044	4
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	0.132	4
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	0.396296296	4
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	1.188888889	4
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	3.566666667	4
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	10.7	4
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	0.412	2
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	1.235666667	2
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	3.707333333	2
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	11.12233333	2
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	33.36666667	2
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	100.1	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	0.041333333	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	0.123666667	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	0.370666667	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	1.112333333	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	3.336666667	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	10.01	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	0.041152263	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	0.12345679	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	0.37037037	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	1.111111111	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	3.333333333	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	10	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	0.041152263	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	0.12345679	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	0.37037037	1
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	1.111111111	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	3.333333333	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	10	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	0.411522634	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	1.234567901	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	3.703703704	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	11.11111111	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	33.33333333	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	100	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	0.205761317	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	0.617283951	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	1.851851852	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	5.555555556	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	16.66666667	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Diaminoanthraquinone	50	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,5-Naphthalenediamine	0.041111111	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,5-Naphthalenediamine	0.123333333	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,5-Naphthalenediamine	0.37	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,5-Naphthalenediamine	1.11	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,5-Naphthalenediamine	3.33	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,5-Naphthalenediamine	9.99	2
CEETOX_H295R_ESTRADIOL	Estradiol	10-Undecenoic acid	0.411934156	2
CEETOX_H295R_ESTRADIOL	Estradiol	10-Undecenoic acid	1.235802469	2
CEETOX_H295R_ESTRADIOL	Estradiol	10-Undecenoic acid	3.707407407	2
CEETOX_H295R_ESTRADIOL	Estradiol	10-Undecenoic acid	11.12222222	2
CEETOX_H295R_ESTRADIOL	Estradiol	10-Undecenoic acid	33.36666667	2
CEETOX_H295R_ESTRADIOL	Estradiol	10-Undecenoic acid	100.1	2
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Estradiol	0.041193416	3
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Estradiol	0.123580247	4
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Estradiol	0.370666667	4
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Estradiol	1.112222222	4
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Estradiol	3.336666667	4
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Estradiol	10.01	4
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Ethinylestradiol	0.004115226	2
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Ethinylestradiol	0.012345679	2
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Ethinylestradiol	0.037037037	2
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Ethinylestradiol	0.111111111	2
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Ethinylestradiol	0.333333333	2
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Ethinylestradiol	1	2
CEETOX_H295R_ESTRADIOL	Estradiol	17beta-Estradiol	0.041	4
CEETOX_H295R_ESTRADIOL	Estradiol	17beta-Estradiol	0.123333333	4
CEETOX_H295R_ESTRADIOL	Estradiol	17beta-Estradiol	0.37	4
CEETOX_H295R_ESTRADIOL	Estradiol	17beta-Estradiol	1.11	4
