assay_component_name	technological_target_type_sub	chnm	casn	stkc	stkc_unit	apid	rowi	coli	wllt	wllq	conc	rval	srcf
CEETOX_H295R_PROG	Progesterone	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	7	11	t	1	0.411522634	0.34	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_PROG	Progesterone	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	7	10	t	1	0.411522634	0.29	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_PROG	Progesterone	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	6	10	t	1	1.234567901	0.28	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_PROG	Progesterone	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	6	11	t	1	1.234567901	0.3	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_PROG	Progesterone	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	5	10	t	1	3.703703704	0.24	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_PROG	Progesterone	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	5	11	t	1	3.703703704	0.28	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_PROG	Progesterone	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	4	10	t	1	11.11111111	0.29	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_PROG	Progesterone	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	4	11	t	1	11.11111111	0.29	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_PROG	Progesterone	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	3	10	t	1	33.33333333	0.22	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_PROG	Progesterone	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	3	11	t	1	33.33333333	0.28	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_PROG	Progesterone	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	2	10	t	1	100	0.21	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_PROG	Progesterone	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	100	mM	09Apr2014.Plate.26	2	11	t	1	100	0.24	2900-100644 TO3 DR 09Apr2014 Plate 26_Cyprotex.csv
CEETOX_H295R_PROG	Progesterone	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	03Sep2014.Plate.1	7	6	t	1	0.044	0.32	2900-TO3 PhIII E1K Set 2 86 DR 03Sep2014 Plate 1_Cyprotex.csv
CEETOX_H295R_PROG	Progesterone	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	03Sep2014.Plate.1	7	7	t	1	0.044	0.32	2900-TO3 PhIII E1K Set 2 86 DR 03Sep2014 Plate 1_Cyprotex.csv
CEETOX_H295R_PROG	Progesterone	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	10Jun2015.Plate.20	7	8	t	1	0.044	1.02	2900-TO3 165 DR 10Jun2015 Plate 20A.csv
CEETOX_H295R_PROG	Progesterone	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	10Jun2015.Plate.20	7	9	t	1	0.044	1.06	2900-TO3 165 DR 10Jun2015 Plate 20A.csv
CEETOX_H295R_PROG	Progesterone	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	10Jun2015.Plate.20	6	8	t	1	0.132	0.98	2900-TO3 165 DR 10Jun2015 Plate 20A.csv
CEETOX_H295R_PROG	Progesterone	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	03Sep2014.Plate.1	6	7	t	1	0.132	0.35	2900-TO3 PhIII E1K Set 2 86 DR 03Sep2014 Plate 1_Cyprotex.csv
