assay_component_name	technological_target_type_sub	chnm	conc	count(*)
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	0.411522634	4
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	1.234567901	4
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	3.703666667	4
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	11.111	4
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	33.33333333	4
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	100	4
CEETOX_H295R_PROG	Progesterone	1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide	0.052263374	2
CEETOX_H295R_PROG	Progesterone	1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide	0.156790123	2
CEETOX_H295R_PROG	Progesterone	1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide	0.47037037	2
CEETOX_H295R_PROG	Progesterone	1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide	1.411111111	2
CEETOX_H295R_PROG	Progesterone	1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide	4.233333333	2
CEETOX_H295R_PROG	Progesterone	1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide	12.7	2
CEETOX_H295R_PROG	Progesterone	1,​2-​Benzenediol	0.041333333	2
CEETOX_H295R_PROG	Progesterone	1,​2-​Benzenediol	0.123666667	2
CEETOX_H295R_PROG	Progesterone	1,​2-​Benzenediol	0.370666667	2
CEETOX_H295R_PROG	Progesterone	1,​2-​Benzenediol	1.112333333	2
CEETOX_H295R_PROG	Progesterone	1,​2-​Benzenediol	3.336666667	2
CEETOX_H295R_PROG	Progesterone	1,​2-​Benzenediol	10.01	2
CEETOX_H295R_PROG	Progesterone	1,3-Phenylenedi(4-aminophenyl ether)	0.041	2
CEETOX_H295R_PROG	Progesterone	1,3-Phenylenedi(4-aminophenyl ether)	0.123333333	2
CEETOX_H295R_PROG	Progesterone	1,3-Phenylenedi(4-aminophenyl ether)	0.370333333	2
CEETOX_H295R_PROG	Progesterone	1,3-Phenylenedi(4-aminophenyl ether)	1.111	2
CEETOX_H295R_PROG	Progesterone	1,3-Phenylenedi(4-aminophenyl ether)	3.333333333	2
CEETOX_H295R_PROG	Progesterone	1,3-Phenylenedi(4-aminophenyl ether)	10	2
CEETOX_H295R_PROG	Progesterone	1,4-Benzenediamine	0.411522634	2
CEETOX_H295R_PROG	Progesterone	1,4-Benzenediamine	1.234567901	2
CEETOX_H295R_PROG	Progesterone	1,4-Benzenediamine	3.703703704	2
CEETOX_H295R_PROG	Progesterone	1,4-Benzenediamine	11.11111111	2
CEETOX_H295R_PROG	Progesterone	1,4-Benzenediamine	33.33333333	2
CEETOX_H295R_PROG	Progesterone	1,4-Benzenediamine	100	2
CEETOX_H295R_PROG	Progesterone	1,4-Bis(butylamino)anthracene-9,10-dione	0.020576132	4
CEETOX_H295R_PROG	Progesterone	1,4-Bis(butylamino)anthracene-9,10-dione	0.061666667	4
CEETOX_H295R_PROG	Progesterone	1,4-Bis(butylamino)anthracene-9,10-dione	0.185185185	4
CEETOX_H295R_PROG	Progesterone	1,4-Bis(butylamino)anthracene-9,10-dione	0.555555556	4
CEETOX_H295R_PROG	Progesterone	1,4-Bis(butylamino)anthracene-9,10-dione	1.666666667	4
CEETOX_H295R_PROG	Progesterone	1,4-Bis(butylamino)anthracene-9,10-dione	5	4
CEETOX_H295R_PROG	Progesterone	1,4-Diaminoanthraquinone	0.205761317	2
CEETOX_H295R_PROG	Progesterone	1,4-Diaminoanthraquinone	0.617283951	2
